note,auteur,avis,assureur,produit,day_date,day_month,day_year,avis_en,token_avis_en,vecteur_moyen,vecteur_0,vecteur_1,vecteur_2,vecteur_3,vecteur_4,vecteur_5,vecteur_6,vecteur_7,vecteur_8,vecteur_9
5,brahim--k-131532,meilleurs assurances prix solutions écoute rapidité et je recommande cette compagnie pour vous  des prix attractif et services de qualité et rapidité,Direct Assurance,auto,6,septembre,2021,best insurance prices solutions listening speed and I recommend this company for you attractive prices and quality and speedy services,"['insurance', 'speed', 'company', 'attractive', 'quality', 'speedy']","[ 0.04682766 -0.06762075 -0.01454747 -0.00466057 -0.02010827 -0.0118904
 -0.02881105 -0.0418066  -0.02423095 -0.00246281]",0.046827655,-0.067620754,-0.014547466,-0.0046605715,-0.020108273,-0.011890404,-0.028811047,-0.041806597,-0.024230951,-0.0024628069
4,boulain-f-116580,je satisfait du service une réponse très rapide de votre service je vous en remercie vous êtes une assurance la moins cher sur le marche cordialement,L'olivier Assurance,auto,10,juin,2021,I am satisfied with the service a very quick response from your service thank you you are the cheapest insurance on the market cordially,"['satisfied', 'service', 'very', 'quick', 'response', 'thank', 'insurance', 'market', 'cordially']","[-0.00342064  0.02029622  0.01513227 -0.0188197   0.02490397 -0.02787169
  0.00411766 -0.03432124  0.01217299  0.00315985]",-0.003420638,0.020296223,0.015132272,-0.018819695,0.024903968,-0.027871689,0.004117655,-0.034321245,0.012172987,0.0031598504
1,rezo31-62544,generali assurances vie patrimoine très mauvais service client pas sérieux mauvais payeur si on demande une avance sur son éparge générali vie,Generali,vie,21,mars,2018,generali life insurance patrimony very bad customer service not serious deadbeat if you ask for an advance on your generali life savings,"['generali', 'life', 'insurance', 'patrimony', 'very', 'bad', 'customer', 'service', 'not', 'serious', 'deadbeat', 'advance']","[-0.04041943 -0.00153523  0.01690123 -0.00209818 -0.0024572  -0.00398497
 -0.00679162 -0.01582909  0.01915535 -0.01343158]",-0.04041943,-0.0015352257,0.016901232,-0.0020981824,-0.002457203,-0.0039849733,-0.0067916163,-0.01582909,0.019155351,-0.013431575
5,re-v-109323,totalement satisfaite de la qualité des prises en charge téléphoniques toujours bien comprise et avec des informations orales suivies deffets réels,L'olivier Assurance,auto,6,avril,2021,totally satisfied with the quality of the telephone support always well understood and with oral information followed by real effects,"['totally', 'satisfied', 'quality', 'telephone', 'support', 'always', 'well', 'understood', 'oral', 'information', 'real']","[-0.00734487 -0.00530394 -0.00377803 -0.00324819  0.00551674 -0.02865964
 -0.00122466  0.00869047  0.02201387  0.00057683]",-0.0073448718,-0.0053039426,-0.0037780271,-0.0032481889,0.005516742,-0.02865964,-0.0012246594,0.008690467,0.022013875,0.0005768321
4,vas-m-117400,je suis très satisfait du service des conseils et de lécoute la conseillère que jai eu par téléphone aimable avec une très bonne qualité découte                                 cordialement,L'olivier Assurance,auto,17,juin,2021,I am very satisfied with the service of the advice and the listening the adviser that I had by telephone friendly with a very good quality of listening cordially,"['very', 'satisfied', 'service', 'advice', 'adviser', 'had', 'telephone', 'friendly', 'good', 'quality', 'cordially']","[-4.6018430e-04 -2.1990584e-02  6.5216515e-03 -1.3870508e-02
  2.8251881e-02  1.3940887e-02  6.3904306e-05 -2.8010666e-02
  1.2139816e-02 -2.3515685e-03]",-0.0004601843,-0.021990584,0.0065216515,-0.013870508,0.02825188,0.013940887,6.390431e-05,-0.028010666,0.012139816,-0.0023515685
3,sophie-m-124360,bonjour il est fort regrettable de ne pouvoir bénéficier dune certaine souplesse sur les tarifs proposés surtout lorsque lon assure un véhicule supplémentaire et que nous navons jamais eu de sinistre ni de retard de paiement,APRIL Moto,moto,23,juillet,2021,hello it is very regrettable not to be able to benefit from a certain flexibility on the proposed rates especially when we insure an additional vehicle and that we have never had a claim or late payment,"['hello', 'very', 'regrettable', 'not', 'be', 'able', 'benefit', 'certain', 'flexibility', 'especially', 'additional', 'vehicle', 'never', 'had', 'claim', 'late', 'payment']","[-0.03465805  0.00575763  0.00907761  0.00392361 -0.00535374  0.00441861
 -0.00818277 -0.01437333 -0.0005103  -0.03439307]",-0.034658052,0.005757635,0.009077613,0.0039236136,-0.0053537367,0.0044186083,-0.0081827715,-0.01437333,-0.0005103047,-0.03439307
5,alain-c-96661,bonjour je suis passer par les furetscom plusieurs proposition me sont apparus mais april reste pour moi simple rapide et pas chers  niveau tarif je conseil,APRIL Moto,moto,29,août,2021,hello I went through ferrets com several proposals appeared to me but April remains for me simple fast and cheap price level I advise,"['hello', 'went', 'com', 'several', 'appeared', 'simple', 'fast', 'cheap', 'price', 'level']","[-0.01823562 -0.00182677 -0.00255204  0.01839063  0.00040763 -0.0295762
  0.04175452  0.01806626  0.02702034 -0.01647246]",-0.018235622,-0.0018267736,-0.0025520357,0.01839063,0.00040763058,-0.029576201,0.04175452,0.018066263,0.027020335,-0.016472464
4,michellon-f-111404,très satisfait du service bizarre le tarif ne correspondait pas trop aux simulations effectuées sinon la souscription est rapide et facile les documents sont reçues dans la minute,L'olivier Assurance,auto,23,avril,2021,very satisfied with the strange service the price did not correspond too much to the simulations carried out otherwise the subscription is quick and easy the documents are received within a minute,"['very', 'satisfied', 'strange', 'service', 'price', 'did', 'not', 'correspond', 'too', 'much', 'carried', 'otherwise', 'subscription', 'quick', 'easy', 'minute']","[-0.01417987  0.00134224 -0.00642047 -0.01520042  0.01242187 -0.00558068
 -0.0140227  -0.01383212  0.03733091  0.00399688]",-0.01417987,0.0013422433,-0.006420472,-0.015200418,0.012421874,-0.0055806804,-0.014022704,-0.013832121,0.037330914,0.0039968817
5,claude-a-136957,je suis satisfait du service les prix me conviennent les garanties me suffisent pour linstant ladhésion est rapide simple efficace et pratique  bien sincèrement,APRIL,sante,11,octobre,2021,I am satisfied with the service the prices suit me the guarantees are enough for me for the moment membership is fast simple efficient and practical sincerely,"['satisfied', 'service', 'suit', 'enough', 'moment', 'membership', 'fast', 'simple', 'efficient', 'practical', 'sincerely']","[-0.03911381 -0.02609598  0.01866689 -0.02946518 -0.01058983 -0.03154621
  0.00600609  0.01035578 -0.01697305 -0.02626467]",-0.03911381,-0.026095975,0.01866689,-0.029465176,-0.010589834,-0.031546213,0.00600609,0.01035578,-0.01697305,-0.026264668
4,baptiste-d-124886,un bon site pour les renseignements  simple vite et rapide  je recommande fortement ce site pour les jeunes qui arrive dans le monde dès motard,APRIL Moto,moto,26,juillet,2021,a good site for quick and easy information I highly recommend this site for young people who arrive in the world as a biker,"['good', 'site', 'quick', 'easy', 'information', 'highly', 'young', 'world', 'biker']","[ 0.00332383 -0.00051844 -0.00767921 -0.02955384  0.03069739  0.03836261
 -0.0025826   0.02728485 -0.02195336  0.03390811]",0.003323828,-0.0005184445,-0.00767921,-0.029553844,0.030697392,0.038362607,-0.0025826031,0.027284851,-0.021953363,0.033908114
